algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0.112,9492,8
MergeSort,random,10000,0.999,127079,11
MergeSort,random,100000,7.618,1639783,14
MergeSort,random,1000000,82.526,19882730,18
MergeSort,sorted,1000,0.010,4196,8
MergeSort,sorted,10000,0.096,58704,11
MergeSort,sorted,100000,1.190,739600,14
MergeSort,sorted,1000000,14.808,9035328,18
MergeSort,duplicates,1000,0.029,9132,8
MergeSort,duplicates,10000,0.303,121643,11
MergeSort,duplicates,100000,3.341,1561169,14
MergeSort,duplicates,1000000,37.436,18925008,18
QuickSort,random,1000,0.143,10040,7
QuickSort,random,10000,0.759,145268,9
QuickSort,random,100000,9.720,1949115,12
QuickSort,random,1000000,114.411,24911124,14
QuickSort,sorted,1000,0.042,10275,7
QuickSort,sorted,10000,0.539,157190,9
QuickSort,sorted,100000,6.219,1982985,12
QuickSort,sorted,1000000,76.638,24005376,14
QuickSort,duplicates,1000,0.017,3085,4
QuickSort,duplicates,10000,0.155,30894,4
QuickSort,duplicates,100000,1.487,329627,3
QuickSort,duplicates,1000000,14.233,4499813,3
QuickSelect,random,1000,0.013,3695,12
QuickSelect,random,10000,0.087,25233,15
QuickSelect,random,100000,1.115,281617,23
QuickSelect,random,1000000,10.648,3893119,23
QuickSelect,sorted,1000,0.005,3332,13
QuickSelect,sorted,10000,0.038,32558,18
QuickSelect,sorted,100000,0.346,307328,19
QuickSelect,sorted,1000000,3.104,2686171,19
QuickSelect,duplicates,1000,0.010,1894,3
QuickSelect,duplicates,10000,0.083,23130,4
QuickSelect,duplicates,100000,0.982,250170,4
QuickSelect,duplicates,1000000,9.628,2999376,5
